Year,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Duration Type,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected
2022,9,9/11/2022,6:19:00 PM,9/11/2022,10:28:00 PM,4,4,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2022,9,9/13/2022,7:55:00 PM,9/13/2022,8:01:00 PM,0,2,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,Natural Disasters,0,0
2022,9,9/15/2022,7:52:00 PM,9/15/2022,9:31:00 PM,2,2,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2022,9,9/21/2022,4:19:00 PM,9/21/2022,6:01:00 PM,2,2,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,Unknown,1521
2022,10,10/10/2022,3:50:00 PM,10/10/2022,4:05:00 PM,0,2,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,Unknown,0
2022,10,10/14/2022,1:30:00 PM,Unknown ,Unknown,N/A,NA,Texas: Bee County;,RE ,Reportable Cyber Security Incident,Cyber Event,Human Attack,0,0
2022,10,10/18/2022,3:12:00 PM,Unknown ,Unknown,N/A,NA,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,Unknown,Unknown
2022,10,10/24/2022,4:29:00 PM,10/24/2022,6:05:00 PM,2,2,Texas: New Mexico: Chaves County;,TRE/WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,34,7551
2022,10,10/25/2022,1:45:00 AM,10/25/2022,1:50:00 PM,12,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,Equipment Failure,Unknown,109865
2022,10,10/26/2022,7:32:00 PM,10/26/2022,8:38:00 PM,1,2,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2022,11,11/2/2022,3:11:00 PM,11/2/2022,3:25:00 PM,0,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2022,11,11/8/2022,3:48:00 PM,11/8/2022,4:21:00 PM,1,2,Texas: Hockley County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2022,11,11/23/2022,7:03:00 AM,11/23/2022,8:57:00 AM,2,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2022,12,12/17/2022,7:45:00 PM,12/17/2022,7:46:00 PM,0,2,Texas: Kaufman County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2022,12,12/22/2022,9:04:00 PM,12/22/2022,9:42:00 PM,1,2,Texas: Montgomery County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2022,12,12/23/2022,6:04:00 AM,12/23/2022,6:40:00 AM,1,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2023,1,1/2/2023,4:12:00 PM,1/3/2023,9:30:00 AM,17,6,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2023,1,1/7/2023,11:44:00 PM,1/8/2023,2:29:00 AM,3,4,"Texas: Jasper County, Tyler County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,20,9823
2023,1,1/8/2023,6:40:00 PM,1/8/2023,6:54:00 PM,0,2,Texas: Bowie County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2023,1,1/13/2023,12:00:00 AM,1/13/2023,1:00,1,2,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2023,1,1/24/2023,3:25:00 PM,1/26/2023,8:20:00 PM,53,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,100731
2023,1,1/25/2023,3:57:00 PM,1/25/2023,5:38:00 PM,2,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2023,1,1/25/2023,3:30:00 AM,1/25/2023,1:00:00 PM,10,6,Arkansas: Texas: Louisiana: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,60958
2023,1,1/31/2023,8:15:00 AM,2/6/2023,5:00:00 PM,153,6,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,360000
2023,2,2/1/2023,5:00:00 AM,2/4/2023,10:39:00 PM,90,6,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,370,173879
2023,2,2/2/2023,8:15:00 AM,2/2/2023,7:45:00 PM,12,6,Arkansas: Mississippi: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,74426
2023,2,2/11/2023,11:17:00 AM,2/11/2023,6:20:00 PM,7,6,Texas: Taylor County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2023,2,2/21/2023,9:45:00 AM,Unknown,Unknown,N/A,NA,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,Human Attack,0,0
